scan_index,x_m,y_m,method,strict_pose,coarse_clear,screened_pass,max_speed,max_step,max_acceleration,max_position_error_m,max_rotation_error_rad,joint_limit_ok,max_speed_joint,min_joint_margin_rad,max_original_knot_q_difference_rad
1745,0.64,0.22,baseline,True,True,False,40.65501228194119,0.3387917690161766,2081.3892391506797,4.86633687656182e-15,3.203990048569887e-14,True,5,0.9152734339855497,4.176659018639839e-13
1745,0.64,0.22,selected,True,True,False,20.454943899022275,0.17045786582518563,973.8337280320223,3.9417803616308286e-15,2.632778635260398e-14,True,5,0.9529805900463344,8.970602038971265e-14
1746,0.66,0.22,baseline,False,False,False,,,,,,,,,
1746,0.66,0.22,selected,True,True,False,134.5917795890707,1.1215981632422558,22327.568192684743,6.840552923617362e-15,4.1450854294103704e-14,True,3,0.8447058050194185,0.006522318247280334
1747,0.68,0.22,baseline,True,True,False,64.89763404978012,0.540813617081501,4078.406775691788,9.18638274464885e-15,5.112398006141061e-14,True,5,0.7669846548419033,1.1257661469699087e-13
1747,0.68,0.22,selected,True,True,False,27.488624063334807,0.2290718671944567,1228.1973557632007,4.831065041795885e-15,2.8099447567472946e-14,True,5,0.7167177362899606,5.861977570020827e-14
1748,0.7000000000000001,0.22,baseline,True,True,False,33.07289263647102,0.27560743863725845,1426.2842348341728,1.1666325816379066e-14,6.181554596709044e-14,True,5,0.6835440634604266,1.3855583347321954e-13
1748,0.7000000000000001,0.22,selected,True,True,False,21.1932456509383,0.17661038042448585,912.9057270995752,2.336913980082375e-15,1.7980227656514708e-14,True,5,0.6874684601827958,6.750155989720952e-13
1749,0.72,0.22,baseline,True,True,False,24.04837024742644,0.20040308539522034,854.6910370445969,5.162537064506978e-15,3.29219703408241e-14,True,5,0.5961056836211043,9.059419880941277e-14
1749,0.72,0.22,selected,True,True,False,18.638925861234785,0.15532438217695654,545.3037274328481,1.658734133606456e-14,7.840507833942749e-14,True,5,0.5456559352118253,2.113864638886298e-13
1750,0.74,0.22,baseline,True,True,False,20.07711941071932,0.167309328422661,530.3945085760979,3.4528650028251532e-15,7.321825890733366e-14,True,5,0.5062269645004491,5.728750807065808e-14
1750,0.74,0.22,selected,True,True,False,20.07711941071932,0.167309328422661,530.3945085760979,3.4528650028251532e-15,7.321825890733366e-14,True,5,0.5062269645004491,5.728750807065808e-14
1751,0.76,0.22,baseline,True,True,False,30.66899391692072,0.25557494930767266,744.2208372489432,5.146171147492085e-15,1.746848486688017e-14,True,5,0.41442169415593444,6.505906924303417e-14
