scan_index,x_m,y_m,condition,yaw_deg,strict_pose,coarse_clear,screened_pass,max_speed,max_step,max_acceleration,max_position_error_m,max_rotation_error_rad,joint_limit_ok,max_speed_joint,min_joint_margin_rad
1521,0.48,0.1,before,0.0,True,True,False,30.604846920187928,0.25504039100156606,675.9464239475833,3.6338676666803996e-15,3.5514978260033096e-14,True,5,0.2972196338137465
1521,0.48,0.1,after,75.0,True,True,True,1.4731700412407989,0.01227641701033999,89.75678111184529,2.6355376941768456e-15,1.43005603632419e-14,True,1,1.4462845283966406
1522,0.5,0.1,before,0.0,True,True,False,28.393299877014044,0.23661083230845037,589.1013846795888,4.41287467006352e-15,3.649622646024411e-14,True,5,0.07493807067218405
1522,0.5,0.1,after,65.0,True,True,True,1.518974109063298,0.012658117575527483,85.45175071904279,1.2500798202018155e-15,5.78861810317686e-15,True,1,1.3214941434999596
1523,0.52,0.1,before,0.0,True,True,False,26.710234022746597,0.2225852835228883,684.9660067009686,3.601920942687412e-15,2.465788475630567e-14,True,5,0.07229631898490041
1523,0.52,0.1,after,60.0,True,True,True,1.5561243216667897,0.012967702680556581,84.94674204342125,1.1261549042556244e-15,8.10956934719593e-15,True,1,1.3069978357740608
1524,0.54,0.1,before,0.0,True,True,False,27.71179693624452,0.230931641135371,660.2200779172477,6.585152893276131e-15,4.817127333082494e-14,True,5,0.5078511682736706
1524,0.54,0.1,after,55.0,True,True,True,1.5977976443076347,0.01331498036923029,83.98627723254677,1.0357330635949064e-15,8.91260878588658e-15,True,1,1.148076690404526
1525,0.56,0.1,before,0.0,True,True,False,29.961423661177005,0.24967853050980837,563.7707391178736,3.234090342272182e-15,2.1863017757839667e-14,True,5,0.0621627566381493
1525,0.56,0.1,after,45.0,True,True,True,1.6326689647861459,0.013605574706551216,79.15840574070643,1.042682815436504e-15,1.112912058949497e-14,True,1,1.1819919875418665
1526,0.58,0.1,before,0.0,True,True,False,32.464317314382235,0.27053597761985193,704.6105582320507,4.921510474700997e-15,1.0836652053967933e-13,True,5,0.05446112405468906
1526,0.58,0.1,after,40.0,True,True,True,1.655526686747053,0.013796055722892109,77.26181263733079,4.60401754567903e-15,8.758614810347653e-14,True,1,1.0044752937527752
1527,0.6,0.1,before,0.0,True,True,False,36.58811944866048,0.30490099540550397,921.7612668187359,5.5841155560737514e-15,3.724328978467099e-14,True,5,0.7317965287967991
1527,0.6,0.1,after,40.0,True,True,True,1.7115242787251184,0.01426270232270932,78.53303244661589,1.9255649376051453e-15,1.8872015794604415e-14,True,3,1.266064911527474
1528,0.62,0.1,before,0.0,True,True,False,45.27097419926394,0.37725811832719947,1495.4026961573163,7.784786478914684e-15,6.206442790580505e-14,True,5,0.035219990195591855
1528,0.62,0.1,after,40.0,True,True,True,1.7864925410602073,0.014887437842168394,81.24168089348025,9.65101116792691e-15,7.620821866341083e-14,True,3,0.9922485916653496
1529,0.64,0.1,before,0.0,True,True,False,67.94872358935811,0.566239363244651,3071.989351561883,8.914034868987701e-15,4.089011697729192e-14,True,5,0.8922802625434152
1529,0.64,0.1,after,40.0,True,True,True,1.8765002406449671,0.015637502005374726,86.62756833459255,1.53781982795187e-14,1.0026282083369782e-13,True,3,1.4649282162997028
