time_s,reference_frame,present_position_m,present_rotation_rad,absent_position_m,absent_rotation_rad,source_position_m,source_rotation_rad,paired_actual_difference_position_m,paired_actual_difference_rotation_rad,reproduction_difference_position_m,reproduction_difference_rotation_rad
6.916666666666666519e-01,2.100000000000000000e+01,1.532246642786217611e-02,5.477807530770481548e-02,1.488264986364531625e-02,5.220558224433825140e-02,1.532246642786217611e-02,5.477807530770481548e-02,6.456627119353352011e-04,3.439373443372384376e-02,0.000000000000000000e+00,0.000000000000000000e+00
6.999999999999999556e-01,2.100000000000000000e+01,1.389081301089378426e-02,6.191476069876785532e-02,1.358485597081419798e-02,5.608776668149093036e-02,1.389081301089378426e-02,6.191476069876785532e-02,5.161465982434022869e-04,3.290830235653698782e-02,0.000000000000000000e+00,0.000000000000000000e+00
7.083333333333333703e-01,2.200000000000000000e+01,1.294058699267849021e-02,6.804526661514645469e-02,1.275299391979850365e-02,5.932163418898492302e-02,1.294058699267849021e-02,6.804526661514645469e-02,3.861342658662607558e-04,3.149342484176042428e-02,0.000000000000000000e+00,0.000000000000000000e+00
7.166666666666666741e-01,2.200000000000000000e+01,1.227122331557749420e-02,7.386847534759624634e-02,1.219154709222763228e-02,6.282233159064692929e-02,1.227122331557749420e-02,7.386847534759624634e-02,2.678206072970109588e-04,3.014960784414935646e-02,0.000000000000000000e+00,0.000000000000000000e+00
7.249999999999999778e-01,2.200000000000000000e+01,1.185143423290042387e-02,7.940392305812719875e-02,1.186522738117105728e-02,6.651620203288552413e-02,1.185143423290042387e-02,7.940392305812719875e-02,1.733144065386831847e-04,2.887467136826591535e-02,0.000000000000000000e+00,2.980232238769531250e-08
7.333333333333332815e-01,2.200000000000000000e+01,1.164606038765037162e-02,8.469723725030026129e-02,1.173502127655849138e-02,7.038588034007584038e-02,1.164606038765037162e-02,8.469723725030026129e-02,1.298401314667797812e-04,2.766474194074414195e-02,0.000000000000000000e+00,5.161913655903570101e-08
7.416666666666666963e-01,2.300000000000000000e+01,1.134553411507641628e-02,8.968198932423218639e-02,1.149113560642354287e-02,7.398293377187344089e-02,1.134553411507641628e-02,8.968198932423218639e-02,1.485545788268890762e-04,2.651228408080678542e-02,0.000000000000000000e+00,0.000000000000000000e+00
7.500000000000000000e-01,2.300000000000000000e+01,1.118816978502802650e-02,9.464745387623731132e-02,1.137813721820337722e-02,7.797679644327319692e-02,1.118816978502802650e-02,9.464745387623731132e-02,1.915852007022019311e-04,2.541821390229389091e-02,0.000000000000000000e+00,2.980232238769531250e-08
7.583333333333333037e-01,2.300000000000000000e+01,1.115969975740843147e-02,9.956987628916820487e-02,1.138203482179771762e-02,8.227297297811438093e-02,1.115969975740843147e-02,9.956987628916820487e-02,2.317493517046384011e-04,2.437435209169718300e-02,0.000000000000000000e+00,0.000000000000000000e+00
7.666666666666666075e-01,2.300000000000000000e+01,1.124149106907774628e-02,1.044527846786981184e-01,1.148459212843274194e-02,8.681035657571720132e-02,1.124149106907774628e-02,1.044527846786981184e-01,2.612201718879282575e-04,2.337674045030721862e-02,0.000000000000000000e+00,0.000000000000000000e+00
7.750000000000000222e-01,2.400000000000000000e+01,1.146091599746666342e-02,1.115810897556849257e-01,1.171595994887375883e-02,9.368772645661392617e-02,1.146091599746666342e-02,1.115810897556849257e-01,2.790369415807697636e-04,2.242233492327502797e-02,0.000000000000000000e+00,0.000000000000000000e+00
7.833333333333333259e-01,2.400000000000000000e+01,1.176500018168228148e-02,1.189247453104042285e-01,1.202198447983013167e-02,1.009967115252230763e-01,1.176500018168228148e-02,1.189247453104042285e-01,2.855212347914606397e-04,2.150655184113722806e-02,0.000000000000000000e+00,2.980232238769531250e-08
